method,target_scope,chart_id,field,correct,error_type,comparison_policy,pred_compact,target_compact
A1,Q5_hold_inbound_course,KAAF_R24,leg_3.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":138.3,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KAAS_R05,leg_1.Q4_course_or_radial,False,status_unknown,degree_display_rounding,"{""status"":""unknown"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":54.9,""type"":""course_deg""}}"
A1,Q4_direct,KAAS_R05,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KAAS_R05,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KAAS_R05,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KAAS_R05,leg_3.Q5_hold_params,False,missing_leg_or_field,exact_status_value,null,"{""status"":""present"",""value"":{""inbound_course_deg"":235.0,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KAAS_R23,leg_1.Q4_course_or_radial,False,status_not_applicable,degree_display_rounding,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":235.0,""type"":""course_deg""}}"
A1,Q5_hold_other,KAAS_R23,leg_1.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_direct,KAAS_R23,leg_2.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q4_not_applicable,KAAS_R23,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KAAS_R23,leg_3.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":54.8,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABE_I06,leg_1.Q4_course_or_radial,False,status_unknown,degree_display_rounding,"{""status"":""unknown"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":63.3,""type"":""course_deg""}}"
A1,Q4_angle,KABE_I06,leg_2.Q4_course_or_radial,False,round_equivalent_but_other_mismatch,degree_display_rounding,"{""status"":""present"",""value"":{""direction"":""outbound"",""navaid"":""STW"",""radial_deg"":243.0,""type"":""navaid_radial""}}","{""status"":""present"",""value"":{""direction"":""inbound"",""navaid"":""STW"",""radial_deg"":243.1,""type"":""navaid_radial""}}"
A1,Q4_not_applicable,KABE_I06,leg_3.Q4_course_or_radial,True,correct,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABE_I06,leg_3.Q5_hold_params,False,missing_inbound_course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""present"",""value"":{""inbound_course_deg"":243.1,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}"
A1,Q4_angle,KABE_R13,leg_1.Q4_course_or_radial,False,status_unknown,degree_display_rounding,"{""status"":""unknown"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":134.9,""type"":""course_deg""}}"
A1,Q4_direct,KABE_R13,leg_2.Q4_course_or_radial,True,correct,exact_status_value,"{""status"":""present"",""value"":{""type"":""direct""}}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q4_not_applicable,KABE_R13,leg_3.Q4_course_or_radial,True,correct,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_other,KABE_R13,leg_3.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABE_R13,leg_4.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABE_R13,leg_4.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":115.1,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABE_R24,leg_1.Q4_course_or_radial,False,type_mismatch:direct->course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""type"":""direct""}}","{""status"":""present"",""value"":{""course_deg"":243.4,""type"":""course_deg""}}"
A1,Q4_direct,KABE_R24,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KABE_R24,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABE_R24,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABE_R24,leg_4.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABE_R24,leg_4.Q5_hold_params,False,missing_leg_or_field,exact_status_value,null,"{""status"":""present"",""value"":{""inbound_course_deg"":239.0,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABI_R17L,leg_1.Q4_course_or_radial,False,type_mismatch:direct->course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""type"":""direct""}}","{""status"":""present"",""value"":{""course_deg"":174.8,""type"":""course_deg""}}"
A1,Q4_direct,KABI_R17L,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KABI_R17L,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABI_R17L,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABI_R17L,leg_3.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":354.8,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABI_R35R,leg_1.Q4_course_or_radial,False,status_unknown,degree_display_rounding,"{""status"":""unknown"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":354.8,""type"":""course_deg""}}"
A1,Q4_direct,KABI_R35R,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KABI_R35R,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABI_R35R,leg_3.Q4_course_or_radial,True,correct,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABI_R35R,leg_3.Q5_hold_params,False,missing_inbound_course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""present"",""value"":{""inbound_course_deg"":174.8,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABR_R13,leg_1.Q4_course_or_radial,False,status_not_applicable,degree_display_rounding,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":128.0,""type"":""course_deg""}}"
A1,Q5_hold_other,KABR_R13,leg_1.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_direct,KABR_R13,leg_2.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q4_not_applicable,KABR_R13,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABR_R13,leg_3.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":308.2,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABR_R17,leg_1.Q4_course_or_radial,False,status_not_applicable,degree_display_rounding,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":172.9,""type"":""course_deg""}}"
A1,Q5_hold_other,KABR_R17,leg_1.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_direct,KABR_R17,leg_2.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q4_not_applicable,KABR_R17,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABR_R17,leg_3.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":352.9,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABR_R31,leg_1.Q4_course_or_radial,False,status_unknown,degree_display_rounding,"{""status"":""unknown"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":308.1,""type"":""course_deg""}}"
A1,Q4_direct,KABR_R31,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KABR_R31,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABR_R31,leg_3.Q4_course_or_radial,True,correct,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABR_R31,leg_3.Q5_hold_params,False,missing_inbound_course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}","{""status"":""present"",""value"":{""inbound_course_deg"":127.9,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABY_R05,leg_1.Q4_course_or_radial,False,status_unknown,degree_display_rounding,"{""status"":""unknown"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":47.1,""type"":""course_deg""}}"
A1,Q4_direct,KABY_R05,leg_2.Q4_course_or_radial,True,correct,exact_status_value,"{""status"":""present"",""value"":{""type"":""direct""}}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q4_not_applicable,KABY_R05,leg_3.Q4_course_or_radial,True,correct,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_other,KABY_R05,leg_3.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABY_R05,leg_4.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABY_R05,leg_4.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":60.7,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABY_R17,leg_1.Q4_course_or_radial,False,type_mismatch:direct->course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""type"":""direct""}}","{""status"":""present"",""value"":{""course_deg"":166.8,""type"":""course_deg""}}"
A1,Q4_direct,KABY_R17,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KABY_R17,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABY_R17,leg_3.Q4_course_or_radial,True,correct,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_other,KABY_R17,leg_3.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABY_R17,leg_4.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABY_R17,leg_4.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":188.6,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KABY_R23,leg_1.Q4_course_or_radial,False,type_mismatch:direct->course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""type"":""direct""}}","{""status"":""present"",""value"":{""course_deg"":227.2,""type"":""course_deg""}}"
A1,Q4_direct,KABY_R23,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KABY_R23,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABY_R23,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KABY_R23,leg_4.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KABY_R23,leg_4.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":188.6,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KACJ_R05,leg_1.Q4_course_or_radial,False,status_not_applicable,degree_display_rounding,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":49.8,""type"":""course_deg""}}"
A1,Q5_hold_other,KACJ_R05,leg_1.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_direct,KACJ_R05,leg_2.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q4_not_applicable,KACJ_R05,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KACJ_R05,leg_3.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":229.9,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KACJ_R23,leg_1.Q4_course_or_radial,False,type_mismatch:direct->course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""type"":""direct""}}","{""status"":""present"",""value"":{""course_deg"":229.9,""type"":""course_deg""}}"
A1,Q4_direct,KACJ_R23,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KACJ_R23,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KACJ_R23,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KACJ_R23,leg_3.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":49.8,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KACK_R06,leg_1.Q4_course_or_radial,False,status_unknown,degree_display_rounding,"{""status"":""unknown"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":59.0,""type"":""course_deg""}}"
A1,Q4_direct,KACK_R06,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KACK_R06,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KACK_R06,leg_3.Q4_course_or_radial,True,correct,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KACK_R06,leg_3.Q5_hold_params,False,missing_inbound_course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""present"",""value"":{""inbound_course_deg"":291.6,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KACK_R15,leg_1.Q4_course_or_radial,False,status_unknown,degree_display_rounding,"{""status"":""unknown"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":149.0,""type"":""course_deg""}}"
A1,Q4_direct,KACK_R15,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KACK_R15,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KACK_R15,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KACK_R15,leg_3.Q5_hold_params,False,missing_leg_or_field,degree_display_rounding,null,"{""status"":""present"",""value"":{""inbound_course_deg"":329.1,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""RIGHT""}}"
A1,Q4_angle,KACK_R33,leg_1.Q4_course_or_radial,False,type_mismatch:direct->course_deg,degree_display_rounding,"{""status"":""present"",""value"":{""type"":""direct""}}","{""status"":""present"",""value"":{""course_deg"":329.1,""type"":""course_deg""}}"
A1,Q4_direct,KACK_R33,leg_2.Q4_course_or_radial,False,status_not_applicable,exact_status_value,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""type"":""direct""}}"
A1,Q5_hold_other,KACK_R33,leg_2.Q5_hold_params,False,target_not_present_but_pred_present,exact_status_value,"{""status"":""present"",""value"":{""inbound_course_deg"":null,""leg_distance_nm"":null,""leg_time_min"":1.0,""turn"":""RIGHT""}}","{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KACK_R33,leg_3.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q4_not_applicable,KACK_R33,leg_4.Q4_course_or_radial,False,missing_leg_or_field,exact_status_value,null,"{""status"":""not_applicable"",""value"":null}"
A1,Q5_hold_inbound_course,KACK_R33,leg_4.Q5_hold_params,False,missing_leg_or_field,exact_status_value,null,"{""status"":""present"",""value"":{""inbound_course_deg"":90.0,""leg_distance_nm"":4.0,""leg_time_min"":null,""turn"":""LEFT""}}"
A1,Q4_angle,KACP_R18,leg_1.Q4_course_or_radial,False,status_not_applicable,degree_display_rounding,"{""status"":""not_applicable"",""value"":null}","{""status"":""present"",""value"":{""course_deg"":177.5,""type"":""course_deg""}}"
