method,question_field,negative_error_type,correct,total,accuracy
B1_prime_link,Q1_fix_ident,over_assertion,0,87,0.0
B1_prime_link,Q1_fix_ident,true_negative,68,68,1.0
B1_prime_link,Q1_fix_ident,unknown_on_negative,0,17,0.0
B1_prime_link,Q2_altitude_constraint,missing_prediction_status,0,15,0.0
B1_prime_link,Q2_altitude_constraint,other_negative_error,0,9,0.0
B1_prime_link,Q2_altitude_constraint,over_assertion,0,11,0.0
B1_prime_link,Q2_altitude_constraint,true_negative,7,7,1.0
B1_prime_link,Q2_altitude_constraint,unknown_on_negative,0,6,0.0
B1_prime_link,Q3_turn,missing_prediction_status,0,213,0.0
B1_prime_link,Q3_turn,other_negative_error,0,84,0.0
B1_prime_link,Q3_turn,over_assertion,0,19,0.0
B1_prime_link,Q3_turn,true_negative,86,86,1.0
B1_prime_link,Q3_turn,unknown_on_negative,0,188,0.0
B1_prime_link,Q4_course_or_radial,missing_prediction_status,0,183,0.0
B1_prime_link,Q4_course_or_radial,other_negative_error,0,23,0.0
B1_prime_link,Q4_course_or_radial,true_negative,5,5,1.0
B1_prime_link,Q4_course_or_radial,unknown_on_negative,0,22,0.0
B1_prime_link,Q5_hold_params,missing_prediction_status,0,48,0.0
B1_prime_link,Q5_hold_params,other_negative_error,0,31,0.0
B1_prime_link,Q5_hold_params,over_assertion,0,21,0.0
B1_prime_link,Q5_hold_params,true_negative,245,245,1.0
B1_prime_link,Q5_hold_params,unknown_on_negative,0,99,0.0
C1,Q1_fix_ident,other_negative_error,0,83,0.0
C1,Q1_fix_ident,over_assertion,0,108,0.0
C1,Q1_fix_ident,true_negative,12,12,1.0
C1,Q2_altitude_constraint,other_negative_error,0,34,0.0
C1,Q2_altitude_constraint,over_assertion,0,13,0.0
C1,Q2_altitude_constraint,true_negative,1,1,1.0
C1,Q3_turn,missing_prediction_status,0,27,0.0
C1,Q3_turn,other_negative_error,0,5,0.0
C1,Q3_turn,over_assertion,0,84,0.0
C1,Q3_turn,true_negative,471,471,1.0
C1,Q3_turn,unknown_on_negative,0,3,0.0
C1,Q4_course_or_radial,missing_prediction_status,0,27,0.0
C1,Q4_course_or_radial,other_negative_error,0,1,0.0
C1,Q4_course_or_radial,over_assertion,0,126,0.0
C1,Q4_course_or_radial,true_negative,76,76,1.0
C1,Q4_course_or_radial,unknown_on_negative,0,3,0.0
C1,Q5_hold_params,missing_prediction_status,0,1,0.0
C1,Q5_hold_params,over_assertion,0,58,0.0
C1,Q5_hold_params,true_negative,385,385,1.0
C2,Q1_fix_ident,over_assertion,0,203,0.0
C2,Q2_altitude_constraint,over_assertion,0,48,0.0
C2,Q3_turn,missing_prediction_status,0,28,0.0
C2,Q3_turn,over_assertion,0,515,0.0
C2,Q3_turn,true_negative,44,44,1.0
C2,Q3_turn,unknown_on_negative,0,3,0.0
C2,Q4_course_or_radial,missing_prediction_status,0,28,0.0
C2,Q4_course_or_radial,over_assertion,0,203,0.0
C2,Q4_course_or_radial,unknown_on_negative,0,2,0.0
C2,Q5_hold_params,over_assertion,0,424,0.0
C2,Q5_hold_params,true_negative,18,18,1.0
C2,Q5_hold_params,unknown_on_negative,0,2,0.0
C3,Q1_fix_ident,missing_prediction_status,0,4,0.0
C3,Q1_fix_ident,other_negative_error,0,108,0.0
C3,Q1_fix_ident,over_assertion,0,91,0.0
C3,Q2_altitude_constraint,other_negative_error,0,34,0.0
C3,Q2_altitude_constraint,over_assertion,0,14,0.0
C3,Q3_turn,missing_prediction_status,0,56,0.0
C3,Q3_turn,other_negative_error,0,1,0.0
C3,Q3_turn,over_assertion,0,55,0.0
C3,Q3_turn,true_negative,478,478,1.0
C3,Q4_course_or_radial,missing_prediction_status,0,47,0.0
C3,Q4_course_or_radial,over_assertion,0,135,0.0
C3,Q4_course_or_radial,true_negative,51,51,1.0
C3,Q5_hold_params,missing_prediction_status,0,9,0.0
C3,Q5_hold_params,over_assertion,0,71,0.0
C3,Q5_hold_params,true_negative,364,364,1.0
C4,Q1_fix_ident,over_assertion,0,112,0.0
C4,Q1_fix_ident,true_negative,91,91,1.0
C4,Q2_altitude_constraint,other_negative_error,0,5,0.0
C4,Q2_altitude_constraint,over_assertion,0,11,0.0
C4,Q2_altitude_constraint,true_negative,32,32,1.0
C4,Q3_turn,missing_prediction_status,0,132,0.0
C4,Q3_turn,over_assertion,0,19,0.0
C4,Q3_turn,true_negative,439,439,1.0
C4,Q4_course_or_radial,missing_prediction_status,0,132,0.0
C4,Q4_course_or_radial,over_assertion,0,27,0.0
C4,Q4_course_or_radial,true_negative,74,74,1.0
C4,Q5_hold_params,missing_prediction_status,0,2,0.0
C4,Q5_hold_params,other_negative_error,0,1,0.0
C4,Q5_hold_params,over_assertion,0,129,0.0
C4,Q5_hold_params,true_negative,311,311,1.0
C4,Q5_hold_params,unknown_on_negative,0,1,0.0
D1,Q1_fix_ident,missing_prediction_status,0,16,0.0
D1,Q1_fix_ident,over_assertion,0,4,0.0
D1,Q1_fix_ident,true_negative,183,183,1.0
D1,Q2_altitude_constraint,missing_prediction_status,0,4,0.0
D1,Q2_altitude_constraint,over_assertion,0,43,0.0
D1,Q2_altitude_constraint,true_negative,1,1,1.0
D1,Q3_turn,missing_prediction_status,0,91,0.0
D1,Q3_turn,over_assertion,0,20,0.0
D1,Q3_turn,true_negative,479,479,1.0
D1,Q4_course_or_radial,missing_prediction_status,0,59,0.0
D1,Q4_course_or_radial,over_assertion,0,1,0.0
D1,Q4_course_or_radial,true_negative,173,173,1.0
D1,Q5_hold_params,missing_prediction_status,0,39,0.0
D1,Q5_hold_params,over_assertion,0,38,0.0
D1,Q5_hold_params,true_negative,367,367,1.0
